data,preco,volume,symbol
2025-01-12,3267.3,164879.9709,ETHUSDT
2025-01-13,3137.51,845907.5669,ETHUSDT
2025-01-14,3225.63,374308.4517,ETHUSDT
2025-01-15,3451.52,464188.034,ETHUSDT
2025-01-16,3308.05,471282.6787,ETHUSDT
2025-01-17,3473.63,518550.1813,ETHUSDT
2025-01-18,3307.71,634197.1281,ETHUSDT
2025-01-19,3215.12,1342301.5217,ETHUSDT
2025-01-20,3284.0,1158354.7814,ETHUSDT
2025-01-21,3327.54,548706.0513,ETHUSDT
2025-01-22,3242.6,349240.7498,ETHUSDT
2025-01-23,3338.21,605592.7225,ETHUSDT
2025-01-24,3310.09,451524.2752,ETHUSDT
2025-01-25,3318.77,208559.0415,ETHUSDT
2025-01-26,3232.61,272165.469,ETHUSDT
2025-01-27,3182.44,753004.7529,ETHUSDT
2025-01-28,3077.72,350959.7173,ETHUSDT
2025-01-29,3113.9,409737.2576,ETHUSDT
2025-01-30,3247.39,350639.4823,ETHUSDT
2025-01-31,3300.99,648681.6561,ETHUSDT
2025-02-01,3117.54,354065.2525,ETHUSDT
2025-02-02,2869.68,1050805.93,ETHUSDT
2025-02-03,2879.9,2807979.021,ETHUSDT
2025-02-04,2731.19,1259594.3919,ETHUSDT
2025-02-05,2788.25,686593.0429,ETHUSDT
2025-02-06,2686.64,719459.9571,ETHUSDT
2025-02-07,2622.1,695467.3612,ETHUSDT
2025-02-08,2632.46,379685.1509,ETHUSDT
2025-02-09,2627.18,387166.7911,ETHUSDT
2025-02-10,2661.19,398173.2716,ETHUSDT
2025-02-11,2602.59,484196.1435,ETHUSDT
2025-02-12,2738.27,646295.8959,ETHUSDT
2025-02-13,2675.87,443769.2853,ETHUSDT
2025-02-14,2725.95,419895.7862,ETHUSDT
2025-02-15,2693.04,202971.4295,ETHUSDT
2025-02-16,2661.41,191231.5314,ETHUSDT
2025-02-17,2744.05,639739.8197,ETHUSDT
2025-02-18,2671.99,604863.8737,ETHUSDT
2025-02-19,2715.5,326154.0202,ETHUSDT
2025-02-20,2738.04,336735.2544,ETHUSDT
2025-02-21,2663.0,890440.0604,ETHUSDT
